trial,seed,object_class,detected_x,detected_y,detected_z,gt_x,gt_y,gt_z,error_x,error_y,error_z,error_total
35,1035,washer,-0.147455727060485,0.11013786391821323,0.4151768256582403,-0.1462019896855782,0.09762559564070633,0.426,0.001253737374906777,0.0125122682775069,0.010823174341759667,0.01659125726657472
35,1035,box,0.001595871564508183,0.0028763307445879294,0.46590768767993274,0.0019891844135933034,-0.01225078536019844,0.48,0.0003933128490851204,0.01512711610478637,0.014092312320067246,0.020677949684900138
35,1035,mug,0.001595221736933501,0.0037763048976214852,0.46723521972388127,0.13151942073890713,-0.18586320127195766,0.45999999999999996,0.12992419900197363,0.18963950616957914,0.007235219723881303,0.22999084371122067
36,1036,washer,0.0788705993864359,-0.01067779276361136,0.4234174413800886,0.07793061560991515,-0.013354794709349305,0.426,0.0009399837765207419,0.0026770019457379446,0.0025825586199114126,0.0038366023957253736
36,1036,box,nan,nan,nan,-0.1462145005297182,0.11542680986376774,0.48,nan,nan,nan,nan
36,1036,mug,-0.1551877337235055,0.15132536038958555,0.4561575425157892,0.14691938546878514,-0.1633537784640737,0.45999999999999996,0.3021071191922906,0.3146791388536593,0.0038424574842107484,0.4362412593690141
37,1037,washer,0.059257957489010006,-0.09260985205289629,0.4568138618909569,0.028924505329219474,0.09834804290392529,0.426,0.030333452159790532,0.19095789495682158,0.030813861890956917,0.1957920581916074
37,1037,box,-0.10807697699168636,0.1696980945711279,0.45947586934326334,-0.10166772581304506,0.13780325044277641,0.48,0.006409251178641301,0.031894844128351474,0.02052413065673664,0.038465562804377997
37,1037,mug,-0.10807697699168636,0.1696980945711279,0.45947586934326334,0.09242017882139944,-0.09602479697852005,0.45999999999999996,0.2004971558130858,0.26572289154964795,0.0005241306567366211,0.3328784151842653
38,1038,washer,0.08059411288780292,0.12265180199338704,0.47355980340884984,0.09133004790097538,0.19135440821347077,0.426,0.010735935013172451,0.06870260622008373,0.047559803408849854,0.08424513815246193
